Nombre,Profesión,Edad,Rasgos,Descripción,Secreto,Motivación
"""Ashcan"" Pete",Vendedor de Periódicos,12,Astuto,Callejero,Conoce los secretos de la ciudad y se gana la vida con información,Ayudar a su familia a salir de la pobreza.
Abigail Foreman,Médium,60,Espiritual,Bondadosa,Ayuda a las almas perdidas a encontrar el descanso,Liberar a un espíritu atrapado por una entidad maligna.
Abraham Lincoln,Presidente,56,Político,Abolicionista,Lidera la Unión durante la Guerra Civil y firma la Proclamación de Emancipación,Ganar la Guerra Civil y abolir la esclavitud en Estados Unidos.
Agnes Baker,Ama de Llaves,58,Observadora,Discreta,Conoce los secretos de la casa donde trabaja y de sus habitantes,Proteger a la familia para la que trabaja.
Alice Derleth,Bibliotecaria,35,Curiosa,Inteligente,Descubre un libro antiguo que contiene un ritual peligroso,Descifrar el ritual y evitar que se lleve a cabo.
Amanda Sharpe,Profesora Universitaria,35,Inteligente,Dedicada,Investiga un antiguo artefacto que parece tener poderes sobrenaturales,Desentrañar los misterios del artefacto.
Andrew Carnegie,Industrial,66,Filántropo,Magnate del acero,Acumula una gran fortuna en la industria del acero,Usar su fortuna para financiar bibliotecas  universidades y otras instituciones públicas.
Andrew Ryan,Empresario,65,Visionario,Despiadado,Construyó una ciudad submarina utópica que esconde un oscuro secreto,Mantener el control de su ciudad y su legado.
Asenath Waite,Ocultista,28,Manipuladora,Poderosa,Posee conocimientos de magia negra y busca la inmortalidad,Alcanzar la vida eterna a cualquier precio.
Beatrice Dubois,Aristócrata,30,Elegante,Fría,Su familia oculta un legado oscuro relacionado con un culto,Romper la conexión familiar con el culto.
Beatrice Sharpe,Estudiante,20,Rebelde,Inteligente,Se ve envuelta en un misterio que involucra a su universidad,Descubrir la verdad detrás del misterio.
Bob Jenkins,Bibliotecario,26,Tímido,Inteligente,Descubre un libro antiguo que habla de rituales prohibidos,Resistir la tentación de usar el conocimiento del libro.
Bram Stoker,Escritor,54,Imaginativo,Gótico,Escribe sobre vampiros," horror y la lucha entre el bien y el mal,  Investigar leyendas de vampiros en Transilvania para su próxima novela."
Calliope Marsh,Artista,22,Soñadora,Introvertida,Sus pinturas parecen predecir eventos futuros y desastres,Comprender el significado de sus visiones y prevenir tragedias.
Carolyn Fern,Artista,30,Creativa,Melancólica,Sus pinturas representan paisajes oníricos y criaturas extrañas,Descubrir el significado de sus visiones artísticas.
Charles Dexter Ward,Estudiante,21,Curioso,Impulsivo,Investiga la historia de su familia y descubre un oscuro secreto,Liberarse de la influencia maligna de su ancestro.
Clara Barton,Enfermera,40,Humanitaria,Fundadora de la Cruz Roja Americana,Cuida a los heridos durante la Guerra Civil,Continuar brindando atención médica a los soldados heridos y establecer la Cruz Roja Americana.
Daisy Walker,Periodista,28,Curiosa,Tenaz,Presenció un ritual extraño y ahora es perseguida por un culto,Exponer la verdad sobre el culto.
Darrell Simmons,Policía,50,Honesto,Valiente,Sospecha de la existencia de fuerzas oscuras en la ciudad,Proteger a la ciudad de las fuerzas sobrenaturales.
Dorothea Dix,Reformista,59,Defensora de los enfermos mentales,Trabaja para mejorar las condiciones de los enfermos mentales,Continuar abogando por un mejor tratamiento para los enfermos mentales.,
Dr. Abigail Wright,Antropóloga,38,Curiosa,Aventurera,Estudia culturas remotas y sus rituales,Desentrañar el misterio de una tribu desaparecida en la selva amazónica.
Dr. Emily Brightman,Psicóloga,38,Inteligente,Compasiva,Trata a pacientes con traumas relacionados con lo sobrenatural,Ayudar a sus pacientes a superar sus miedos y traumas.
Dr. Evelyn Pierce,Psiquiatra,35,Compasiva,Inteligente,Trata a pacientes con traumas y experiencias sobrenaturales,Ayudar a un paciente a superar una posesión demoníaca.
Dr. Francis Morgan,Arqueólogo,45,Aventurero,Excéntrico,Descubre una tumba antigua que libera una maldición,Revertir la maldición y salvar a sus colegas.
Dr. Henry Armitage,Bibliotecario Jefe,75,Erudito,Sabio,Conoce la existencia de los Mitos y busca proteger a la humanidad,Detener el despertar de un Primigenio.
Dr. Vincent Crow,Científico,35,Brillante,Obsesionado,Experimenta con tecnología prohibida para crear vida artificial,Completar su creación sin importar las consecuencias.
Edgar Allan Poe,Escritor,40,Macabro,Torturado,Sus escritos reflejan una profunda comprensión del lado oscuro del ser humano,Encontrar la belleza en la oscuridad y explorar los límites de la mente.
Edward Derby,Profesor de Historia,42,Estudioso,Despistado,Investiga una secta que adoraba a dioses oscuros en la antigüedad,Impedir el resurgimiento de la secta.
